Review,Liked
তিনি কাজ জানেন,positive
তিনি কাজ জানেন না,negative
তিনি কোনো কাজ জানেন না,negative
তিনি কাজ করতে চান,positive
তিনি কাজ করতে ভয় পান,negative
তিনি কাজ করতে অনেক ভালবাসেন,positive
তিনি কাজ করতে ভালবাসেন,positive
সবাই তাকে ভাল পান,positive
সবাই তাকে অনেক ভাল পান,positive
তার কাজ করতে পছন্দ,positive
তার কাজ করতে পছন্দ না,negative
তিনি সবার ভাল চান,positive
তিনি কারো ভাল চান না,negative
তিনি আমাকে মারতে চান,negative
তিনি কারো খারাপ চান না,positive
তিনি খারাপ চান না,positive
তিনি কারো ভাল দেখতে পান না,negative
আমাকে সবাই অনেক ভালবাসে,positive
আমাকে সবাই ভালবাসে,positive
আমাকে কেউ ভালবাসে না,negative
তিনি আমাকে ভালবাসেন,positive
তিনি আমাকে অনেক ভালবাসেন,positive
তিনি আমাকে ভালবাসেন না,negative
তিনি কোনো কিছু ভালবাসেন না,negative
তাকে সবাই পছন্দ করে,positive
তাকে কেউ পছন্দ করে না,negative
তাকে আমার একদম পছন্দ না,negative
সবাই ব্যস্ত,negative
সবাই তার সেবা করতে ব্যস্ত,positive
ব্যস্ত আছি বিরক্ত করবে না,negative
আমি ব্যস্ত না,positive
কেউ তার সেবা করে,positive
কেউ আমার কথা চিন্তা করে না,negative
ভয় নেই আমি আছি,positive
আমি ভয় পাই না,positive
সে কাজ করতে পছন্দ করে,positive
সে কাজটি মন দিয়ে করবে,positive
সে কাজটি করবে,positive
সে কাজটি করবে না,negative
আমি কারো খারাপ চাই না,positive
সে খারাপ কাজ করে,negative
সে আমার খারাপ চায়,negative
আমি কেনো কাজটি করতে পারি না,negative
আমার তাকে অনেক পছন্দ,positive
আমার তাকে পছন্দ না,negative
কারো খারাপ বলা হয় না,positive
কাজটি একদম আমার মন মতো হয়েছে,positive
কাজটি একদম ভাল হয় নাই,negative
সবাই তার উপর রাগ করে আছে,negative
আমি রাগ করে নেই,positive
সে আমাকে বিরক্ত করে না,positive
সে আমাকে বিরক্ত করে না,positive
আমি তোমাকে বিরক্ত করতে চাই নাই,negative
আমার কিছু লাগবে না ভালবাসা লাগবে,positive
আমার কিছু লাগবে না,positive
তুমি আমাকে কিছু করবে না,negative
আমি আছি তোমার মনে,positive
আমি ভাল আছি,positive
